"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.06367 3559 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06393 3558 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06419 3557 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06446 3556 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06472 3555 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06498 3554 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06525 3553 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06551 3552 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06577 3551 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06604 3550 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06630 3549 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06656 3548 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06682 3547 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06709 3546 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06735 3545 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06761 3544 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06788 3543 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06814 3542 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06840 3541 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06867 3540 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06893 3539 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06919 3538 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06946 3537 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06972 3536 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06998 3535 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07024 3534 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07051 3533 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07077 3532 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07103 3531 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07130 3530 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07156 3529 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07182 3528 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07209 3527 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07235 3526 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07261 3525 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07288 3524 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07314 3523 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07340 3522 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07366 3521 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07393 3520 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07419 3519 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07445 3518 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07472 3517 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07498 3516 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07524 3515 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07551 3514 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07577 3513 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07603 3512 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07630 3511 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.07656 3510 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
